couple1,couple2,relationship_status,context,rel_start_dt,rel_end_dt,rel_len_yrs
Lacy Faddoul,Marcus Grodd,Separated,BIP S1,"June, 2014","June, 2016",2.00
Elise Mosca,"Christopher ""Chris"" Bukowski",Separated,BIP S1,"June, 2014","July, 2014",0.08
Michelle Money,Cody Sattler,Separated,BIP S1,"June, 2014","December, 2014",0.50
Jade Roper,Tanner Tolbert,Married + kids,BIP S2,"June, 2015","May, 2021",5.92
Samantha Steffen,"Nicholas ""Nick"" Peterson",Separated,BIP S2,"June, 2015","October 9, 2015",0.36
Cassandra Ferguson,Justin Reich,Separated,BIP S2,"June, 2015","September, 2015",0.25
Carly Waddell,Evan Bass,Separated + kids,BIP S3,"June, 2016","May, 2021",4.92
Amanda Stanton,Josh Murray,Separated,BIP S3,"June, 2016","December, 2016",0.50
Lace Morris,Grant Kemp,Separated,BIP S3,"June, 2016","November 29, 2016",0.50
Taylor Nolan,Derek Peth,Separated,BIP S4,"June, 2017","June, 2018",1.00
Raven Gates,Adam Gottschalk,Married,BIP S4,"June, 2017","May, 2021",3.92
Lacey Mark,Daniel Maguire,Separated,BIP S4,"June, 2017","September, 2017",0.25
Krystal Nielson,Chris Randone,Divorced,BIP S5,"June, 2018","January 1, 2020",1.59
Jenna Cooper,Jordan Kimball,Separated,BIP S5,"June, 2018","September, 2018",0.25
Kendall Long,Joe Amabile,Separated,BIP S5,"August, 2018","January 28, 2020",1.49
Astrid Loch,Kevin Wendt,Engaged,BIP S5,"June, 2018","May, 2021",2.92
Annaliese Puccini,Kamil Nicalek,Separated,BIP S5,"June, 2018","September, 2018",0.25
John Graham,Olivia Goethals,Separated,BIP S5,"August, 2018","September, 2018",0.08
Colton Underwood,Tia Booth,Separated,BIP S5,"June, 2018","July, 2018",0.08
Demi Burnett,Kristian Haggerty,Separated,BIP S6,"June, 2019","October 31, 2019",0.42
Hannah Godwin,Dylan Barbour,Engaged,BIP S6,"June, 2019","May, 2021",1.92
Katie Morton,"Christopher ""Chris"" Bukowski",Separated,BIP S6,"June, 2019","December 10, 2019",0.53
Nicole Lopez-Alvar,Clay Harbor,Separated,BIP S6,"June, 2019","August 1, 2019",0.17
Caelynn Miller-Keyes,Dean Unglert,Dating,BIP S6,"June, 2019","May, 2021",1.92
Tayshia Adams,John Paul Jones,Separated,BIP S6,"June, 2019","October 30, 2019",0.41
Whitney Fransway,Connor Saeli,Separated,BIP S6,"June, 2019","September, 2019",0.25
Ashley Iaconetti,Kevin Wendt,Separated,Bachelor Winter Games,"December, 2017","March, 2018",0.25
Courtney Dober,Lily McManus,Separated,Bachelor Winter Games,"December, 2017","August, 2018",0.67
Dean Unglert,Lesley Murphy,Separated,Bachelor Winter Games,"December, 2017","April, 2018",0.33
Stassi Yaramchuk,Luke Pell,Separated,Bachelor Winter Games,"December, 2017","December 1, 2017",0.00
Clare Crawley,Benoit Beauséjour-Savard,Separated,Bachelor Winter Games,"December, 2017","April, 2018",0.33
Holly Durst,Blake Julian,Married + kid,Bachelor Pad,"September, 2011","May, 2021",9.67
Vienna Girardi,Kasey Kahl,Separated,Bachelor Pad,"March, 2011","October, 2011",0.59
Tenley Molzahn,Kiptyn Locke,Separated,Bachelor Pad,"September, 2010","June, 2014",3.75
Blakeley Jones,"Anthony ""Tony"" Pieper",Separated,Bachelor Pad,"June, 2012","October, 2012",0.33
Ashley Iaconetti,Jared Haibon,Married,BN,"May, 2018","May, 2021",3.00
Kaitlyn Bristowe,Jason Tartick,Dating,BN,"November, 2018","May, 2021",2.50
Chris Lambton,Peyton Wright,Married + kids,BN,"August, 2010","May, 2021",10.76
Elizabeth Kitt (NE),"Tyrone ""Ty"" Brown",Married + kid,BN,"January, 2013","May, 2021",8.33
Ann Lueders,Jesse Csincsak,Married + kids,BN,"February, 2010","May, 2021",11.25
Drew Kenney,Amy Long,Dating,BN,"June, 2014","May, 2021",6.92
Tara Durr,John Presser,Married + kid,BN,"January, 2009","May, 2021",12.34
Peter Weber,Kelley Flanagan,Separated,BN,"May, 2020","December, 2020",0.59
"Christopher ""Chris"" Bukowski",Katrina Badowski,Separated,BN,---,---,---
Robert Graham,Becca Tilley,Separated,BN,---,---,---
Cassandra Ferguson,Jonathan Holloway,Separated,BN,---,---,---
Blake Horstmann,Kristina Schulman,Separated,BN,---,---,---
Blake Horstmann,Caelynn Miller-Keyes,Separated,BN,---,---,---
Clay Harbor,Angela Amezcua,Separated,BN,---,---,---
