couple1,couple2,couple2_age,couple2_loc,couple2_occ,couple2_outcome,couple2_place,couple2_arrived,show_season,relationship_status
Clare Crawley,Dale Moss,31,"Brandon, South Dakota",Former Pro Football Wide Receiver,Clare's Winner,1,Week 1,The_Bachelorette_(season_16),Dating
Clare Crawley,Zac Clark,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Ben Smith,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Ivan Hall,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Brendan Morais,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Bennett Jordan,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Riley Christian,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Blake Moynes,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Demar Jackson,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Ed Waisbrot,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,"Uzoma ""Eazy"" Nwachukwu",---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Chasen Nick,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Joe Park,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Jordan Chapman,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Kenny Braasch,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Jay Smith,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Jason Foster,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Zach Jackson,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Blake Monar,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
Clare Crawley,Garin Flowers,---,---,---,---,---,Week 1,The_Bachelorette_(season_16),Separated
