show_season,lead
The_Bachelor_(American_season_1),Alex Michel
The_Bachelor_(American_season_2),Aaron Buerge
The_Bachelor_(American_season_5),Jesse Palmer
The_Bachelor_(American_season_9),Lorenzo Borghese
The_Bachelor_(American_season_10),Andrew Baldwin
The_Bachelor_(American_season_11),Brad Womack
The_Bachelor_(American_season_12),Matt Grant
The_Bachelor_(American_season_13),Jason Mesnick
The_Bachelor_(American_season_14),Jake Pavelka
The_Bachelor_(American_season_15),Brad Womack
The_Bachelor_(American_season_16),Ben Flajnik
The_Bachelor_(American_season_17),Sean Lowe
The_Bachelor_(American_season_18),Juan Pablo Galavis
The_Bachelor_(American_season_19),Chris Soules
The_Bachelor_(American_season_20),Ben Higgins
The_Bachelor_(American_season_21),Nick Viall
The_Bachelor_(American_season_22),Arie Luyendyk Jr.
The_Bachelor_(American_season_23),Colton Underwood
The_Bachelor_(American_season_24),Peter Weber
The_Bachelor_(American_season_25),Matt James
The_Bachelorette_(season_1),Trista Rehn
The_Bachelorette_(season_2),Meredith Phillips
The_Bachelorette_(season_3),Jen Schefft
The_Bachelorette_(season_4),DeAnna Pappas
The_Bachelorette_(season_5),Jillian Harris
The_Bachelorette_(season_6),Ali Fedotowsky
The_Bachelorette_(season_7),Ashley Hebert
The_Bachelorette_(season_8),Emily Maynard
The_Bachelorette_(season_9),Desiree Hartsock
The_Bachelorette_(season_10),Andi Dorfman
The_Bachelorette_(season_11),Kaitlyn Bristowe
The_Bachelorette_(season_12),Jojo Fletcher
The_Bachelorette_(season_13),Rachel Lindsay
The_Bachelorette_(season_14),Becca Kufrin
The_Bachelorette_(season_15),Hannah Brown
